"id","prediction"
"164118","0"
"164119","0"
"164120","0"
"164121","1"
"164122","0"
"164123","0"
"164124","0"
"164125","0"
"164126","0"
"164127","0"
"164128","0"
"164129","0"
"164130","0"
"164131","0"
"164132","0"
"164133","0"
"164134","0"
"164135","0"
"164136","0"
"164137","0"
"164138","0"
"164139","0"
"164140","0"
"164141","1"
"164142","0"
"164143","0"
"164144","0"
"164145","0"
"164146","0"
"164147","0"
"164148","0"
"164149","1"
"164150","1"
"164151","0"
"164152","0"
"164153","0"
"164154","1"
"164155","1"
"164156","0"
"164157","1"
"164158","1"
"164159","0"
"164160","0"
"164161","0"
"164162","0"
"164163","0"
"164164","0"
"164165","0"
"164166","0"
"164167","0"
"164168","0"
"164169","0"
"164170","0"
"164171","0"
"164172","0"
"164173","0"
"164174","0"
"164175","0"
"164176","0"
"164177","0"
"164178","0"
"164179","1"
"164180","0"
"164181","0"
"164182","0"
"164183","0"
"164184","0"
"164185","0"
"164186","0"
"164187","0"
"164188","0"
"164189","0"
"164190","1"
"164191","1"
"164192","0"
"164193","0"
"164194","0"
"164195","0"
"164196","0"
"164197","0"
"164198","0"
"164199","0"
"164200","0"
"164201","0"
"164202","0"
"164203","1"
"164204","1"
"164205","0"
"164206","0"
"164207","1"
"164208","0"
"164209","0"
"164210","0"
"164211","0"
"164212","0"
"164213","1"
"164214","1"
"164215","1"
"164216","0"
"164217","0"
"164218","1"
"164219","0"
"164220","0"
"164221","1"
"164222","1"
"164223","0"
"164224","0"
"164225","0"
"164226","0"
"164227","0"
"164228","0"
"164229","0"
"164230","0"
"164231","0"
"164232","1"
"164233","0"
"164234","0"
"164235","0"
"164236","0"
"164237","0"
"164238","0"
"164239","0"
"164240","0"
"164241","0"
"164242","0"
"164243","0"
"164244","1"
"164245","0"
"164246","1"
"164247","0"
"164248","0"
"164249","1"
"164250","0"
"164251","0"
"164252","0"
"164253","0"
"164254","0"
"164255","0"
"164256","0"
"164257","0"
"164258","0"
"164259","0"
"164260","0"
"164261","1"
"164262","0"
"164263","0"
"164264","0"
"164265","0"
"164266","0"
"164267","0"
"164268","0"
"164269","0"
"164270","0"
"164271","0"
"164272","0"
"164273","0"
"164274","0"
"164275","0"
"164276","0"
"164277","0"
"164278","0"
"164279","1"
"164280","0"
"164281","0"
"164282","0"
"164283","0"
"164284","0"
"164285","0"
"164286","0"
"164287","0"
"164288","0"
"164289","0"
"164290","0"
"164291","0"
"164292","0"
"164293","0"
"164294","0"
"164295","0"
"164296","0"
"164297","0"
"164298","1"
"164299","0"
"164300","1"
"164301","0"
"164302","0"
"164303","0"
"164304","0"
"164305","0"
"164306","0"
"164307","0"
"164308","0"
"164309","0"
"164310","0"
"164311","0"
"164312","0"
"164313","0"
"164314","0"
"164315","0"
"164316","0"
"164317","0"
"164318","0"
"164319","0"
"164320","0"
"164321","0"
"164322","0"
"164323","0"
"164324","0"
"164325","0"
"164326","0"
"164327","0"
"164328","1"
"164329","0"
"164330","1"
"164331","0"
"164332","0"
"164333","0"
"164334","0"
"164335","1"
"164336","0"
"164337","0"
"164338","0"
"164339","0"
"164340","0"
"164341","0"
"164342","0"
"164343","0"
"164344","0"
"164345","0"
"164346","0"
"164347","0"
"164348","0"
"164349","0"
"164350","0"
"164351","0"
"164352","0"
"164353","0"
"164354","0"
"164355","0"
"164356","0"
"164357","0"
"164358","0"
"164359","0"
"164360","0"
"164361","0"
"164362","0"
"164363","0"
"164364","0"
"164365","0"
"164366","0"
"164367","0"
"164368","0"
"164369","0"
"164370","0"
"164371","0"
"164372","0"
"164373","0"
"164374","0"
"164375","0"
"164376","0"
"164377","0"
"164378","0"
"164379","0"
"164380","1"
"164381","0"
"164382","0"
"164383","0"
"164384","1"
"164385","0"
"164386","0"
"164387","0"
"164388","0"
"164389","0"
"164390","1"
"164391","1"
"164392","1"
"164393","1"
"164394","1"
"164395","0"
"164396","0"
"164397","0"
"164398","0"
"164399","0"
"164400","0"
