"id","prediction"
"164118",0
"164119",0
"164120",0
"164121",0
"164122",0
"164123",0
"164124",0
"164125",0
"164126",0
"164127",0
"164128",0
"164129",0
"164130",0
"164131",0
"164132",0
"164133",0
"164134",0
"164135",0
"164136",1
"164137",0
"164138",0
"164139",0
"164140",0
"164141",1
"164142",0
"164143",0
"164144",1
"164145",0
"164146",0
"164147",0
"164148",0
"164149",1
"164150",0
"164151",0
"164152",0
"164153",0
"164154",0
"164155",0
"164156",0
"164157",1
"164158",0
"164159",0
"164160",0
"164161",0
"164162",1
"164163",0
"164164",0
"164165",0
"164166",0
"164167",0
"164168",0
"164169",1
"164170",0
"164171",1
"164172",0
"164173",0
"164174",0
"164175",0
"164176",0
"164177",0
"164178",0
"164179",1
"164180",0
"164181",0
"164182",0
"164183",0
"164184",0
"164185",0
"164186",0
"164187",0
"164188",0
"164189",0
"164190",0
"164191",0
"164192",0
"164193",0
"164194",0
"164195",0
"164196",0
"164197",0
"164198",0
"164199",0
"164200",0
"164201",0
"164202",0
"164203",1
"164204",1
"164205",0
"164206",0
"164207",0
"164208",0
"164209",0
"164210",0
"164211",0
"164212",1
"164213",0
"164214",0
"164215",1
"164216",0
"164217",0
"164218",1
"164219",0
"164220",0
"164221",1
"164222",0
"164223",0
"164224",0
"164225",0
"164226",0
"164227",1
"164228",0
"164229",0
"164230",0
"164231",0
"164232",0
"164233",0
"164234",0
"164235",0
"164236",0
"164237",0
"164238",0
"164239",0
"164240",0
"164241",0
"164242",1
"164243",0
"164244",1
"164245",0
"164246",1
"164247",0
"164248",0
"164249",0
"164250",0
"164251",0
"164252",0
"164253",0
"164254",0
"164255",0
"164256",0
"164257",0
"164258",0
"164259",0
"164260",0
"164261",0
"164262",0
"164263",0
"164264",0
"164265",0
"164266",1
"164267",0
"164268",0
"164269",0
"164270",0
"164271",0
"164272",0
"164273",0
"164274",0
"164275",0
"164276",0
"164277",0
"164278",0
"164279",1
"164280",0
"164281",0
"164282",0
"164283",0
"164284",0
"164285",0
"164286",0
"164287",0
"164288",0
"164289",0
"164290",0
"164291",0
"164292",0
"164293",0
"164294",0
"164295",0
"164296",0
"164297",0
"164298",0
"164299",0
"164300",0
"164301",0
"164302",0
"164303",0
"164304",0
"164305",0
"164306",1
"164307",1
"164308",1
"164309",0
"164310",1
"164311",0
"164312",1
"164313",0
"164314",0
"164315",0
"164316",0
"164317",0
"164318",0
"164319",0
"164320",1
"164321",0
"164322",1
"164323",1
"164324",0
"164325",0
"164326",0
"164327",0
"164328",1
"164329",0
"164330",1
"164331",0
"164332",0
"164333",1
"164334",1
"164335",1
"164336",1
"164337",1
"164338",1
"164339",1
"164340",1
"164341",1
"164342",1
"164343",1
"164344",1
"164345",1
"164346",1
"164347",0
"164348",1
"164349",1
"164350",1
"164351",1
"164352",1
"164353",1
"164354",1
"164355",1
"164356",1
"164357",1
"164358",1
"164359",0
"164360",1
"164361",0
"164362",1
"164363",0
"164364",1
"164365",1
"164366",1
"164367",1
"164368",1
"164369",1
"164370",1
"164371",1
"164372",0
"164373",0
"164374",1
"164375",1
"164376",0
"164377",0
"164378",0
"164379",0
"164380",1
"164381",1
"164382",0
"164383",0
"164384",1
"164385",1
"164386",1
"164387",1
"164388",1
"164389",1
"164390",1
"164391",1
"164392",1
"164393",0
"164394",1
"164395",1
"164396",0
"164397",1
"164398",0
"164399",0
"164400",0
"164401",1
"164402",1
"164403",0
"164404",1
"164405",0
"164406",0
"164407",0
"164408",0
"164409",0
"164410",0
"164411",0
"164412",0
"164413",1
"164414",1
"164415",0
"164416",0
"164417",0
"164418",1
"164419",0
"164420",1
"164421",0
"164422",0
"164423",0
"164424",0
"164425",0
"164426",0
"164427",1
"164428",0
"164429",0
"164430",0
"164431",1
"164432",0
"164433",0
"164434",0
"164435",0
"164436",0
"164437",0
"164438",0
"164439",0
"164440",1
"164441",0
"164442",0
"164443",0
"164444",0
"164445",0
"164446",0
"164447",0
"164448",0
